profile|content_id|top_parent_id|seconds|viewed_at|duration|video_id|episode_id|program_id|object_id|content_type_id|percent_view|expired_at|user
724d5ce2-0599-46e3-b1ad-0cd41e0cfd99|689642421974512523|546316123402928564|1614|2024-08-26 12:22:52||0|0|0|0002171720458060|20|0||
46095f79-20cd-4e61-86df-18efaf70badf|746615188702666611|654994236770384070|1235|2024-07-07 12:50:35||0|0|0|0037691720251000|20|0||
c1cce0b3-e344-4980-bc4b-82960d11f05e|546327070486037003|0|590|2024-08-31 10:09:50||0|0|0|0000071720249200|20|0||
f85d3865-2999-4b82-86f9-0e52ad1d7ea9|546311973344641608|562690200531108268|1952|2024-07-08 16:25:02||0|0|0|0101151720443150|20|0||
617ac18b-ddcb-4076-9bc5-5da844472962|558372338278596996|726674929764327360|6460|2024-07-10 23:17:37||0|0|0|0101151720874250|20|0||
0bf4f53f-4473-45cc-a62b-1bcd142dfaef|969707632739604181|546311550860788728|1467|2024-10-28 13:22:57||0|0|0|0005221720631850|20|0|2024-11-03 11:27:08|
67313aec-8304-4537-8a70-840471d484c1|895440858557412678|588147948869648989|6632|2024-07-06 10:33:55||0|0|0|0001691720624800|20|0||
d6b82bc8-72e8-4716-9158-2acbe8b41c1a|546311157938389445|0|4439|2024-07-06 10:33:59||0|0|0|0001701720246800|20|0||
e27c9fce-5ab6-4d43-890a-df7be4062768|1009114645232050030|1009114630208151878|3843|2024-07-06 10:34:03||0|0|0|0082541720247400|20|0||
cb74136b-a19a-4d46-8d60-4feeebe2c521|562690202083001302|562690200531108268|2945|2024-07-06 10:34:05||0|0|0|0101151720248300|20|0||
8e965028-9415-4894-afb7-3aeb0ead8285|592715389163537039|0|9234|2024-07-06 10:34:07||0|0|0|0070081720242000|20|0||
f17adfba-acdf-45e2-801a-95a6fb682f8b|572837852304375945|572837851943665783|547|2024-07-06 10:34:07||0|0|0|0003261720250700|20|0||
f1b6a3a2-4698-402a-bceb-43cfa84d8b27|976919360210429974|654952657201807919|2048|2024-07-06 10:34:08||0|0|0|0007471720249200|20|0||
6f6c1898-45c7-4c66-8320-59e55d78180c|760490149927003918|696476648813418227|4119|2024-07-06 10:34:09||0|0|0|0002611720263300|20|0||
7703a0ad-9833-4b24-ac34-fd526793ddd8|558370347452203662|546316688543449479|3634|2024-07-06 10:34:10||0|0|0|0002821720185300|20|0||
2fc20559-448a-429e-bf57-d5148d4f5eac|907831538158880233|0|502|2024-08-17 10:23:23||0|0|0|0000011720250100|20|0||
023eb2c8-2892-4e4d-b156-ed05513e7b51|582976685431849304|0|142|2024-07-06 10:34:13||0|0|0|0049851720153500|20|0||
907cce4d-b6a5-42ae-b1a7-967ef9c308aa|754044827466918364|0|2052|2024-07-06 10:34:13||0|0|0|0055131720249200|20|0||
bb3d721a-34d3-412b-a071-2083193aea45|813497242384904549|714760694453395759|8083|2024-07-06 10:34:15||0|0|0|0004941720389280|20|0||
1e167b06-eedf-4232-abd7-96b858ab2660|1011810672291995628|546309673746170271|9504|2024-07-06 10:34:16||0|0|0|0007381720465200|20|0||
d64daf1c-9a4f-493e-9215-f7a3af775ce8|890494915523242084|0|203|2024-10-17 09:13:24||0|0|0|0050451729145400|20|0|2024-10-18 09:10:00|15455541
5176b841-79ca-402b-b91a-681e4d095681|821134919745834365|0|620|2024-07-06 10:34:23||0|0|0|0000031720246800|20|0||
8072dee5-5ff8-436d-a44f-7d6f9fdeed77|845894030071435424|546310701434536276|9645|2024-07-08 02:57:26||0|0|0|0000061720512300|20|0||
84af259c-ca5c-4f0b-8140-08d2ef7261f3|558370388170506859|546316688543449479|3465|2024-07-06 10:38:10||0|0|0|0002821720200900|20|0||
12979b13-779b-4210-b07a-8e8a6e278e8f|806798283786172819|0|2999|2024-07-06 10:35:01||0|0|0|0007451720248300|20|0||
1d0d83b5-21b0-405a-9ff3-a1290a8de2cf|840939050138774608|546405715074351492|204|2024-07-06 10:37:05||0|0|0|0004941720251220|20|0||
adece8b8-7f4d-44b2-b1f8-ad301b5dd121|546330729785590263|546324466225905962|503|2024-07-06 10:42:31||0|0|0|0002181720251240|20|0||
9318dcce-7560-4f43-8a2c-492c4812b32d|546331871638716840|0|1772|2024-07-06 10:34:33||0|0|0|0003411720249500|20|0||
06b6cf90-f6a0-48df-b6d7-698c53bd7f78|546311781983715393|0|982|2024-10-19 10:36:25||0|0|0|0000041720250400|20|0|2024-10-24 10:20:00|
